block	translation	word_freq	block_freq	overall_freq
야	field, night, Literary Chinese particle	1	202	203
영	eternal; forever, glory, honour; prosper, dive; swim	1	199	200
분	feces	1	198	199
통	to pass through, to command, to hurt	1	197	198
간	10³⁶	1	195	196
회	association, society, gathering	1	194	195
천	river; stream	1	191	192
은	favor; mercy, silver, to hide	1	190	191
강	a surname	1	190	191
병	soldier	1	187	188
토	rabbit, hare	1	187	188
행	bound for	1	186	187
당	Tang dynasty	1	184	185
저	low	1	181	182
배	double, twice, twofold, times, -fold	1	181	182
말	end; tip	1	177	178
심	mind, to sink, to survey	1	176	177
남	indigo, rags, overflow	1	176	177
재	again	1	175	176
백	white, elder, 100	1	174	175
용	dragon	1	167	168
터	inference; intention, plan, situation, circumstance	1	166	167
코	nose, nasal fluid, tip	1	166	167
집	home, house, household, sheath, case	1	165	166
종	breed; kind	1	165	166
살	evil influence; damnation	1	164	165
청	administrative headquarter	1	161	162
박	to persecute, naïve and innocent, wide; broad; spacious	1	159	160
메	cooked rice, rice	1	159	160
들	wild, untamed	1	158	159
애	love, riverside, sad	1	157	158
증	certificate, card, orange	1	157	158
목	item, class	1	155	156
망	network	1	154	155
질	quality, disease; quick, order, rank	1	150	151
색	Worldly possessions	1	149	150
설	theory	1	149	150
복	clothes	1	149	150
각	chamber; pavillion, cabinet	1	143	144
게	to rest	1	142	143
면	side; aspect, township	1	140	141
달	to reach; achieve, otter	1	138	139
역	changing, boundary, wielding	1	138	139
락	fall, type of owl	1	138	139
절	㑜 engrave, to cut; everything, military authorization seal	1	136	137
점	occupying, shop, gradually	1	135	136
후	after	1	134	135
귀	precious; superior, to return, ghost, spirit	1	130	131
표	ticket, vote or ballot	1	130	131
추	autumn; fall, fall	1	129	130
약	weak, like; as if, leap	1	129	130
군	soldier, monarch, village	1	129	130
티	t-shirt, tee	1	129	130
예	law, example, etiquette, decorum, servant	1	127	128
근	muscle; nerve	1	127	128
열	hemp	1	126	127
창	intestines	1	126	127
임	duty; responsibility	1	124	125
투	two	1	123	124
법	law, dharma, grammatical mood	1	121	122
편	volume	1	120	121
속	colloquialism	1	119	120
광	light, breadth, mine	1	118	119
판	to judge, to sell, to sell	1	118	119
탄	swallow, tolerant, charcoal	1	117	118
악	evil; wickedness	1	117	118
글	a writing system, letters, cultivation, knowledge	1	116	117
운	luck, fortune, fate	1	115	116
갈	rebuke, how, thirsty	1	115	116
삼	ginseng	1	114	115
형	firefly	1	114	115
데	place, situation, case	1	114	115
독	poison, alone, supervise, direct	1	114	115
외	cucumber	1	114	115
북	north	1	113	114
람	look at, inspect, mountain mist	1	113	114
란	that/what is called	1	110	111
결	clean; pure, lack; deficit	1	108	109
돌	chimney; a gudeul	1	107	108
입	mouth, lips, a man's word	1	107	108
합	sum; total	1	104	105
네	who, whom	1	103	104
등	lamp, lantern, light, wisteria	1	102	103
환	egg, change, shine	1	102	103
난	ovum, lazy, wave	1	100	101
검	sword	1	100	101
염	thought, twist	1	100	101
평	criticism	1	99	100
월	sentence	1	99	100
풍	wind, good harvest; bulrush, surname	1	97	98
급	sudden; urgent; steep	1	96	97
격	surroundings, case, condition	1	96	97
류	type; category	1	95	96
참	participating, forgiveness, cruel	1	94	95
막	curtain, membrane, without	1	93	94
권	a surname	1	93	94
육	meat; flesh	1	92	93
울	wool	1	92	93
본	root, basis, source, origin, main, primary, principal	1	92	93
팔	eight	1	90	91
업	profession; karma, treacherous in terrain	1	90	91
채	a continuing state	1	88	89
술	skill, telling, matting needle	1	88	89
순	sprout, bud	1	88	89
승	victory	1	88	89
벌	to attack, punishment	1	87	88
건	case, matter, subject	1	87	88
향	incense, scent; fragrance	1	87	88
쥐	cramp	1	86	87
황	yellow, much less, ruler	1	86	87
랑	wave, aisle, guy	1	86	87
누	rampart, often, frequently; many, tear; cry	1	85	86
침	spit, saliva	1	84	85
변	jargon, argot, lingo	1	84	85
담	courage; nerve	1	82	83
암	darkness; secret, hut, cancer	1	81	82
족	foot	1	80	81
현	appearing	1	79	80
송	pine, recite, to send	1	79	80
날	raw, uncooked, despicable	1	77	78
풀	pool	1	77	78
손	visitor, guest, customer, patron	1	76	77
골	goal	1	76	77
처	place	1	76	77
년	year	1	75	76
씨	lineage; surname	1	75	76
밀	dense, honey	1	75	76
항	blocking, always, harbor	1	75	76
꽃	flower; flowering plant	1	74	75
끼	A meal	1	74	75
극	theater/theatre	1	74	75
줄	sprout	1	73	74
혼	to mix, to marry, soul	1	73	74
론	loan	1	73	74
밥	cooked rice, meal, feed	1	72	73
궁	poverty, exhaustion, investigation	1	71	72
축	axis	1	71	72
충	loyalty; allegiance	1	71	72
왕	king; monarch, king	1	70	71
범	a surname	1	69	70
철	maturity; good sense	1	69	70
필	elephant	1	69	70
눈	soft, tender; young	1	67	68
책	book	1	67	68
응	to clot, chest, falcon	1	67	68
폭	sunshine, bursting, breadth	1	67	68
록	rock; rock music	1	66	67
견	to see, silk, to send	1	65	66
십	ten	1	65	66
길	luck	1	64	65
봉	pretty, respect, confer upon	1	64	65
패	defeat; loss	1	64	65
완	pure, complete, crooked	1	64	65
탈	mishap, trouble; accident, illness, sickness, flaw, fault	1	63	64
허	falseness; worthlessness	1	61	62
곡	valley, grain, cry	1	61	62
온	warm, serene, a Korean surname	1	60	61
얼	disaster, trouble, misfortune	1	60	61
삭	entirely; sweepingly	1	60	61
밤	chestnut	1	59	60
혈	blood	1	58	59
품	work, labor	1	57	58
친	by blood	1	56	57
굴	cave; hole	1	55	56
잔	a drinking cup	1	55	56
퍼	pho	1	55	56
활	bow	1	55	56
번	having been earned	1	54	55
함	all, mouthing, warship	1	54	55
탕	to boil	1	54	55
존	respect	1	54	55
쇠	iron, metal	1	53	54
빠	hardcore fan, groupie	1	53	54
볼	patch	1	52	53
잠	sleep, nap	1	52	53
올	eminent, choke, fat	1	52	53
덕	virtue	1	52	53
옥	lacquer	1	52	53
먹	inkstick, pitch-black	1	51	52
능	ability	1	50	51
착	calmly, limply, while lowering	1	50	51
득	gain; benefit	1	50	51
죽	bamboo, congee	1	49	50
최	Finite or limit	1	47	48
겨	yes, yeah	1	46	47
농	naughty, joke, cage, pus	1	46	47
찰	to survey, to rub, letter	1	46	47
논	argument, discussion	1	45	46
갑	leather pants	1	45	46
슴	boob; woman's breast	1	44	45
찌	cork, float, bobber	1	44	45
늘	always, forever	1	43	44
납	wax, solder	1	42	43
틀	frame, framework, model, pattern, mould, die	1	42	43
몰	fall in, die	1	42	43
콜	call.	1	42	43
움	dugout; pit	1	41	42
칼	cangue	1	41	42
괴	cat	1	41	42
깨	sesame or perilla	1	41	42
답	rice paddy	1	41	42
엄	a noun-forming suffix	1	41	42
김	steam; vapor	1	40	41
욕	desire, greed, lust	1	40	41
흑	while sobbing momentarily	1	39	40
희	a plural suffix	1	39	40
냉	to be cold	1	39	40
놀	billow, roe deer	1	38	39
낙	fall, drop, joy, delight, the Luo river	1	38	39
님	lord	1	37	38
졸	garlic chive	1	37	38
칠	lacquer	1	36	37
똥	dregs, residue	1	36	37
쌍	pair	1	36	37
압	press; pressure, press; pressure, duck	1	36	37
액	amount; sum	1	36	37
홍	a surname	1	36	37
맥	pulse; vein, barley, horseriding	1	35	36
잘	bag, sack	1	35	36
벽	angelica	1	35	36
탁	request, flow, height	1	35	36
빙	ice, lean	1	35	36
엽	leaf	1	35	36
앙	center, look up to, begrudge	1	33	34
촌	town; area	1	33	34
콘	cone	1	33	34
둑	dike, bank, embankment	1	32	33
층	storey or floor, a layer, a level	1	32	33
링	ring, ring	1	32	33
싱	Xingxian	1	32	33
곤	suffer; surround, earth, 산 이름	1	31	32
혹	bump, wen, protuberance	1	30	31
효	filial piety, to emulate, dawn; clear	1	30	31
척	magnanimous, poke, scrape	1	30	31
털	hair, fur, wool, feather	1	30	31
벨	bell	1	30	31
휴	phew, whew, whoa	1	30	31
뒤	back, latter, rear, afterwards, future, next, aftermath, result, trail	1	29	30
규	shout, star, law; rule	1	29	30
죄	all, entirely, completely	1	29	30
준	great man, approve, high	1	29	30
쇼	show	1	29	30
콩	soybean	1	28	29
뿔	horn, antler, protrusion, anger	1	28	29
낭	pocket, bag, woman, corridor, porch, veranda	1	28	29
객	guest	1	28	29
익	to hide, to drown	1	28	29
율	law; rule	1	28	29
핑	with a whiz	1	28	29
갱	gang, gangster	1	27	28
쌀	uncooked rice	1	27	28
맨	just, only	1	27	28
찬	praise	1	27	28
멍	bruise	1	27	28
빵	bang!	1	26	27
때	occasion; time, opportunity	1	26	27
빛	light, gleam, glow, color, hue, tint, fame, hope, outlook	1	26	27
뇌	thunder; lightning bolt, rapids, puppet	1	26	27
떡	wide, broad	1	26	27
옷	clothing; clothes	1	26	27
폰	a pawn	1	26	27
딱	while colliding together, widely, an intensifier	1	26	27
핵	seed, to inquire, to examine	1	26	27
샤	shah	1	26	27
꿈	dream	1	25	26
섬	annihilation, flash	1	25	26
숨	breath, breathing, liveliness, spirit, vigor, stiffness	1	25	26
짝	pair, partner; mate	1	25	26
끈	string	1	25	26
억	hundred million	1	25	26
택	tack	1	25	26
맛	razor clam; solen	1	24	25
징	gong	1	24	25
롤	a hair roller	1	24	25
돈	money	1	23	24
못	cannot, poorly	1	23	24
왜	Japanese	1	23	24
잎	leaf, leafage, foliage	1	23	24
쪽	face	1	23	24
섯	stop!	1	23	24
념	thought; idea	1	23	24
룩	a rook	1	22	23
썩	exceedingly, swiftly, with haste	1	22	23
뱀	snake, serpent	1	21	22
닭	chicken	1	21	22
톱	saw, covering	1	21	22
핀	pin	1	21	22
탑	top	1	21	22
륜	wheel	1	21	22
펜	pen	1	21	22
잉	Conveys a whine.	1	21	22
랍	wax, solder	1	21	22
홀	suddenly; to neglect, absentminded	1	20	21
땅	ground, soil, territory	1	20	21
킹	a king	1	20	21
릴	reel	1	20	21
팽	with a whiz	1	20	21
엉	okay, yeah	1	20	21
윤	sheen; gloss; lustre	1	20	21
둘	two	1	19	20
겁	fear, coerce, threaten	1	19	20
널	panel, board, plank, coffin, casket	1	19	20
앞	fore, front, the south	1	19	20
흐	hum, hmm, huh	1	19	20
텐	ten	1	19	20
꿀	enjoyable thing	1	18	19
벼	rice plant, paddy	1	18	19
끝	end, final	1	18	19
겹	fold, layer, -fold	1	18	19
짐	load, burden, package, parcel, cargo, freight	1	18	19
띠	belt, band, Chinese zodiac sign	1	18	19
젖	breast	1	18	19
랭	to be cold	1	18	19
즙	juice; sap	1	17	18
섭	crossing, ruling, fearful	1	17	18
뢰	thunder	1	17	18
균	level, level, storage house	1	17	18
팬	pan	1	17	18
률	law; rule	1	17	18
또	also, again	1	16	17
싹	bud; shoot; sprout, omen	1	16	17
곳	place	1	16	17
꼴	fodder, grass	1	16	17
떼	group	1	16	17
녕	peace	1	16	17
잼	jam	1	16	17
첨	first time, beginning	1	16	17
봄	spring, springtime	1	15	16
낮	daytime, noon	1	15	16
뇨	urine	1	15	16
웅	male, bear	1	15	16
쉬	fly egg	1	15	16
뼈	bone, synopsis	1	14	15
힘	strength; power, force	1	14	15
짱	boss in fighting, awesome, best	1	14	15
흔	trace, joyful, dawn	1	14	15
덜	less	1	14	15
헬	something hellishly difficult	1	14	15
삐	beeping, whistling	1	14	15
첩	album; notebook	1	13	14
뚜	hooting, tooting, matchmaker, pimp	1	13	14
뜻	meaning, sense, significance, mind, aim, goal	1	12	13
좀	silverfish	1	12	13
첫	first; initial	1	12	13
춤	dance	1	12	13
칸	khan	1	12	13
깃	feather; plume	1	12	13
떨	marijuana	1	12	13
즉	immediate, Classical Chinese particle, crucian carp	1	11	12
셈	counting, situation; circumstances	1	11	12
벗	friend; companion	1	11	12
흉	scar	1	11	12
똑	without differences	1	11	12
펄	mudflat, tideland	1	11	12
큐	cue	1	11	12
둔	fort, camp, dullness, bluntness, buttocks, hip	1	10	11
꼭	grasping tightly, firmly	1	10	11
겉	surface, the outside	1	10	11
찐	real; genuine; authentic	1	10	11
톨	grain, nut	1	10	11
뭇	harpoon, fish spear	1	10	11
턱	chin, jaw, chops	1	9	10
옴	ohm	1	9	10
앗	oh	1	9	10
옛	old; bygone	1	9	10
샘	jealousy; envy	1	9	10
엿	six	1	9	10
숫	pure	1	9	10
푼	a hundredth	1	9	10
썰	rumour	1	9	10
밴	van	1	9	10
껌	gum, chewing gum	1	8	9
곧	easily, readily	1	8	9
낫	sickle, scythe	1	8	9
잣	pine nut	1	8	9
룡	Ancient form of, Ancient form of	1	8	9
땡	unexpected good luck	1	8	9
갖	leather, hide.	1	8	9
갠	river; riverside	1	8	9
낱	each; piece; unit	1	7	8
값	price, value	1	7	8
궤	track, rut, path, back rest; desk, to move	1	7	8
톤	tone	1	7	8
홈	groove	1	7	8
닉	to hide, to drown	1	7	8
쑥	Artemisia princeps	1	7	8
롯	Lot	1	7	8
댁	house, home, residence	1	6	7
곽	circumference, outer coffin, soybean leaf	1	6	7
딴	another, other; different	1	6	7
쭉	fashionably; sexily	1	6	7
솜	cotton	1	6	7
끙	groan; moan	1	6	7
룰	rule	1	6	7
옆	side, flank, vicinity	1	5	6
땀	stitch	1	5	6
짚	straw	1	5	6
멋	dandyism, foppery	1	5	6
뷰	view	1	5	6
빔	dressing up	1	5	6
왼	utmost; most	1	4	5
뺨	cheek	1	4	5
툴	tool	1	4	5
낯	face; countenance, honour; face	1	4	5
뉘	time, age, generation	1	4	5
밖	outside	1	4	5
랩	lab, laboratory	1	4	5
몇	how many, which number, some	1	4	5
몫	portion, share, allotment, task, responsibility, duty, profit, gain	1	4	5
겸	refuse; modest, sickle	1	4	5
꾀	wit, trick; ruse	1	4	5
괄	inclusion; encompass, activity	1	4	5
벚	cherry	1	4	5
봇	birchbark	1	4	5
솥	pot, kettle, cauldron	1	4	5
잭	a jack	1	4	5
헐	oh my, whoa	1	4	5
눌	mumble; stammer	1	4	5
꽝	miss, failure	1	4	5
꽹	bang, clang, boom	1	4	5
쏠	a little waterfall	1	4	5
쐐	sound of, sound of, pouring rain	1	4	5
삶	life; living	1	3	4
혀	tongue	1	3	4
돛	sail; canvas	1	3	4
굿	cavity, hollow, pit	1	3	4
볏	sunshine	1	3	4
깁	coarse silk fabric	1	3	4
옻	lacquer, poison ivy, sumac	1	3	4
뻥	a lie	1	3	4
씩	with a grin	1	3	4
샴	very, greatly	1	3	4
팜	dugout, burrow, carving	1	3	4
펌	perm	1	3	4
샅	groin, crotch	1	2	3
갹	feast with wine, straw sandal, to laugh loudly	1	2	3
틈	crack; gap, opportunity, spare time	1	2	3
및	and, additionally	1	2	3
팀	team	1	2	3
뫼	grave, mountain	1	2	3
빚	debt	1	2	3
캡	cap	1	2	3
딜	dill	1	2	3
칩	chips, crisps, chip, microchip, chip	1	2	3
뜰	court, garden	1	2	3
짬	spare time, a physical gap	1	2	3
짭	fake; imitation	1	2	3
쏙	while being excluded, fashionably, entrancedly; obsessedly	1	2	3
촨	ship, boat	1	2	3
쉼	pause	1	2	3
탭	tap	1	2	3
갗	skin, leather	1	2	3
엥	huh?, what?	1	2	3
넋	soul; spirit	1	1	2
녜	-	1	1	2
푹	while cooking completely, while relaxing well	1	1	2
홰	torch	1	1	2
곶	cape; headland	1	1	2
삯	wages, fee	1	1	2
늪	marsh, swamp, bog, mire, quagmire	1	1	2
괌	Guam	1	1	2
밈	meme	1	1	2
슛	shoot	1	1	2
셸	shell	1	1	2
웍	wok	1	1	2
홑	singular, simple	1	1	2
뵘	a surname, Böhm	1	1	2
퓸	fume	1	1	2
갭	a gap	1	0	1
닻	anchor	1	0	1
덫	trap, snare, noose	1	0	1
낟	grain	1	0	1
탓	cause, reason, defect, fault, blame, fault, scolding	1	0	1
퀸	a queen, a queen	1	0	1
흄	fumes	1	0	1
쉰	fifty	1	0	1
댐	dam	1	0	1
꽉	tightly; firmly, fully	1	0	1
떽	no!	1	0	1
숱	hair density	1	0	1
섶	prop, support	1	0	1
삘	feeling, impression	1	0	1
돝	pig, swine	1	0	1
늧	omen, sign, portent	1	0	1
숴	shoo	1	0	1
쉘	Shell	1	0	1
곬	waterway, watercourse, direction, origin, source, cause	1	0	1
즑	winter	1	0	1
쉿	shh, requesting silence.	1	0	1
씸	seam	1	0	1
퍽	puck	1	0	1
옰	deserts, comeuppance	1	0	1
뱔	see 배알	1	0	1
쏢	gnawing, nibbling	1	0	1
씜	possession by spirits	1	0	1
풂	untying, solution, loose	1	0	1
빎	prayer	1	0	1
묾	pay, paying, payment	1	0	1
칰	arrowroot, kudzu	1	0	1
푄	foehn	1	0	1
휀	foehn	1	0	1
섟	pier	1	0	1
헉	Expresses a gasp	1	0	1
